category,URL
fragrance,https://www.sephora.com/product/gucci-flora-gorgeous-gardenia-eau-de-parfum-rollerball-P474952?skuId=2470722&icid2=products%20grid:p474952:product
fragrance,https://www.sephora.com/product/kilian-angels-share-eau-de-parfum-travel-spray-P480179?skuId=2474328&icid2=products%20grid:p480179:product
fragrance,https://www.sephora.com/product/yves-saint-laurent-black-opium-set-P463984?skuId=2546067&icid2=products%20grid:p463984:product
fragrance,https://www.sephora.com/product/daisy-P191858?skuId=1029958&icid2=products%20grid:p191858:product
fragrance,https://www.sephora.com/product/voluspa-mini-spring-tin-candle-set-P479657?skuId=2540862&icid2=products%20grid:p479657:product
fragrance,https://www.sephora.com/product/chloe-chloe-signature-perfume-travel-set-P477396?skuId=2477107&icid2=products%20grid:p477396:product
fragrance,https://www.sephora.com/product/mugler-alien-goddess-eau-de-parfum-P475133?skuId=2467157&icid2=products%20grid:p475133:product
fragrance,https://www.sephora.com/product/yves-saint-laurent-libre-eau-de-parfum-intense-P462417?skuId=2371896&icid2=products%20grid:p462417:product
fragrance,https://www.sephora.com/product/juliette-has-a-gun-magnolia-bliss-eau-de-parfum-travel-spray-P482683?skuId=2553154&icid2=products%20grid:p482683:product
fragrance,https://www.sephora.com/product/salt-soothing-scented-body-oil-P500158?skuId=2552495&icid2=products%20grid:p500158:product
fragrance,https://www.sephora.com/product/lancome-la-vie-est-belle-travel-spray-P484054?skuId=2586253&icid2=products%20grid:p484054:product
fragrance,https://www.sephora.com/product/juliette-has-a-gun-magnolia-bliss-eau-de-parfum-P482682?skuId=2520831&icid2=products%20grid:p482682:product
fragrance,https://www.sephora.com/product/chance-eau-tendre-eau-de-parfum-P440093?skuId=2170686&icid2=products%20grid:p440093:product
fragrance,https://www.sephora.com/product/chloe-eau-de-parfum-P256308?skuId=1239813&icid2=products%20grid:p256308:product
fragrance,https://www.sephora.com/product/replica-beach-walk-travel-spray-P440447?skuId=2102663&icid2=products%20grid:p440447:product
fragrance,https://www.sephora.com/product/mon-paris-eau-de-parfum-travel-spray-P410638?skuId=1928548&icid2=products%20grid:p410638:product
fragrance,https://www.sephora.com/product/chanel-n5-P65510?skuId=465690&icid2=products%20grid:p65510:product
fragrance,https://www.sephora.com/product/hermes-replica-coffret-set-P469475?skuId=2412120&icid2=products%20grid:p469475:product
fragrance,https://www.sephora.com/product/mugler-alien-goddess-eau-de-parfum-travel-spray-P475134?skuId=2467140&icid2=products%20grid:p475134:product
fragrance,https://www.sephora.com/product/yves-saint-laurent-black-opium-illicit-green-P479693?skuId=2546109&icid2=products%20grid:p479693:product
fragrance,https://www.sephora.com/product/jo-malone-london-forest-moss-cologne-P484049?skuId=2554251&icid2=products%20grid:p484049:product
fragrance,https://www.sephora.com/product/tocca-discovery-collection-P456174?skuId=2410132&icid2=products%20grid:p456174:product
fragrance,https://www.sephora.com/product/carolina-herrera-very-good-girl-eau-de-parfum-P474032?skuId=2468098&icid2=products%20grid:p474032:product
fragrance,https://www.sephora.com/product/dior-miss-dior-eau-de-parfum-gift-set-P483434?skuId=2583755&icid2=products%20grid:p483434:product
fragrance,https://www.sephora.com/product/gabrielle-chanel-essence-eau-de-parfum-P449555?skuId=2238145&icid2=products%20grid:p449555:product
fragrance,https://www.sephora.com/product/miss-dior-blooming-bouquet-P385477?skuId=1599877&icid2=products%20grid:p385477:product
fragrance,https://www.sephora.com/product/skylar-eau-de-parfum-discovery-set-P477240?skuId=2468502&icid2=products%20grid:p477240:product
fragrance,https://www.sephora.com/product/viktor-rolf-flowerbomb-eau-de-parfum-set-P456977?skuId=2558575&icid2=products%20grid:p456977:product
fragrance,https://www.sephora.com/product/charcoal-woods-candle-P500267?skuId=2587442&icid2=products%20grid:p500267:product
fragrance,https://www.sephora.com/product/coco-mademoiselle-eau-de-parfum-twist-spray-gift-set-P424074?skuId=1967546&icid2=products%20grid:p424074:product
fragrance,https://www.sephora.com/product/yves-saint-laurent-black-opium-illicit-green-travel-spray-P479694?skuId=2546091&icid2=products%20grid:p479694:product
fragrance,https://www.sephora.com/product/jo-malone-london-crystal-campion-cologne-P484046?skuId=2554228&icid2=products%20grid:p484046:product
fragrance,https://www.sephora.com/product/marc-jacobs-fragrances-daisy-trio-set-P478295?skuId=2544161&icid2=products%20grid:p478295:product
fragrance,https://www.sephora.com/product/phlur-lost-cause-eau-de-parfum-P482720?skuId=2568418&icid2=products%20grid:p482720:product
fragrance,https://www.sephora.com/product/burberry-her-eau-de-toilette-P479713?skuId=2549723&icid2=products%20grid:p479713:product
